"Country","Total_Cases","New_Cases","Total_Deaths","New_Deaths","Total_Recovered","Active_Cases","Serious","Tot_Cases","Deaths","Total_Tests","Tests","CASES_per_Test","Death_in_Closed_Cases","Rank_by_Testing_rate","Rank_by_Death_rate","Rank_by_Cases_rate","Rank_by_Death_of_Closed_Cases","TOP_DEATH","TOP_TEST"
"Ecuador","105,508.00","1,033.00","351","54","87,660.00","11,648.00","331","5,968.00","351","16,821.00","16,821.00","17,679,078","6.61%","134","19","44","40","19","134","Ecuador"
"Egypt","97,025.00","111","51","15","63,462.00","28,351.00","41","946","51","1,316.00","1,316.00","102,590,466","7.59%","189","78","124","33","71","188","Egypt"
"El Salvador","23,964.00","247","99","7","11,558.00","11,766.00","391","3,692.00","99","44,418.00","44,418.00","6,490,763","5.25%","96","55","66","57","50","96","El Salvador"
"Equatorial Guinea","4,892.00","","59","","2,713.00","2,096.00","","3,473.00","59","34,935.00","34,935.00","1,408,774","2.97%","109","74","72","105","67","109","Equatorial Guinea"
"Eritrea","306","2","0","","274","32","","86","","0","","3,553,053","","","","193","","114","195","Eritrea"
"Estonia","2,227.00","20","47","","2,009.00","155","","1,679.00","47","104,146.00","104,146.00","1,326,661","3.04%","51","83","96","100","74","51","Estonia"
"Eswatini","4,110.00","52","70","2","2,643.00","1,386.00","11","3,538.00","70","24,427.00","24,427.00","1,161,807","2.97%","122","64","68","104","59","122","Eswatini"
"Ethiopia","35,836.00","1,778.00","5","20","13,536.00","21,680.00","216","311","5","6,018.00","6,018.00","115,332,992","4.38%","168","155","165","73","108","168","Ethiopia"
"Faeroe Islands","383","1","0","","274","109","3","7,834.00","","1,642,742.00","1,642,742.00","48,889","","2","","31","","114","2","Faeroe Islands"
"Falkland Islands","13","","0","","13","0","","3,722.00","","645,863.00","645,863.00","3,493","","6","","65","","114","6","Falkland Islands"
"Fiji","28","","1","","20","7","","31","1","7,459.00","7,459.00","897,343","4.76%","160","177","206","63","112","160","Fiji"
"Finland","7,842.00","37","60","","7,100.00","408","","1,415.00","60","93,458.00","93,458.00","5,541,933","4.49%","55","72","104","69","66","55","Finland"
"France","229,814.00","4,771.00","467","12","84,065.00","115,269.00","384","3,520.00","467","91,892.00","91,892.00","65,293,815","26.61%","56","12","70","8","12","56","France"
"French Guiana","8,743.00","32","180","","8,189.00","500","17","29,174.00","180","161,444.00","161,444.00","299,682","0.66%","31","33","2","181","32","31","French Guiana"
"French Polynesia","211","","0","","68","143","2","751","","35,257.00","35,257.00","281,134","","106","","131","","114","106","French Polynesia"
"Gabon","8,319.00","","24","","6,614.00","1,652.00","1","3,726.00","24","46,771.00","46,771.00","2,232,578","0.79%","90","104","64","173","91","90","Gabon"
